Fecha: 30/04/2025
Total: 409,23
Líneas de la factura:
- Manzanas orgánicas Granny Smith, 3.0, 2.99
- Leche entera fresca de granja, 2.0, 1.49
- Docena de huevos de gallinas camperas, 1.0, 3.99
- Pan de masa madre integral recién horneado, 2.0, 2.29
- Arroz basmati de grano largo, 1.0, 4.79
- Aceite de oliva virgen extra de primera prensada, 1.0, 7.99
- Paquete de pasta de trigo integral penne, 2.0, 1.99
- Tomates de viña maduros y jugosos, 3.0, 3.49
- Bolsa de zanahorias frescas orgánicas, 2.0, 1.79
- Pechugas de pollo de corral sin piel ni hueso, 1.0, 5.99
- Filetes de salmón salvaje del Atlántico, 2.0, 9.99
- Yogures naturales de leche entera, 3.0, 0.99
- Queso cheddar madurado 12 meses, 1.0, 4.49
- Pimientos rojos dulces de cultivo local, 2.0, 1.29
- Cebollas amarillas grandes y dulces, 3.0, 0.79
- Judías verdes frescas y tiernas, 2.0, 2.49
- Aguacates Hass maduros y cremosos, 2.0, 1.99
- Naranjas de Valencia recién cosechadas, 3.0, 3.99
- Patatas rojas orgánicas de piel fina, 2.0, 2.49
- Plátanos de Canarias extra dulces y maduros, 2.0, 1.29
- Cabeza de ajo morado fresco, 2.0, 0.49
- Hojas de espinacas orgánicas frescas, 1.0, 2.99
- Miel pura de flores silvestres, 1.0, 5.99
- Pan integral de masa madre con semillas, 1.0, 3.49
- Mantequilla de leche de vacas alimentadas con pasto, 1.0, 2.99
- Café de especialidad en grano de Etiopía, 2.0, 9.99
- Caja de té verde Matcha japonés, 1.0, 12.99
- Tableta de chocolate negro 70% cacao, 2.0, 3.49
- Tarro de mermelada artesanal de fresa, 1.0, 4.99
- Miel cruda de lavanda de la Provenza, 1.0, 7.99
- Aceitunas Kalamata griegas en aceite de oliva, 1.0, 5.49
- Pan de centeno artesano con semillas de girasol, 2.0, 2.79
- Queso de cabra curado con corteza de ceniza, 1.0, 8.99
- Botella de vino tinto reserva Rioja, 2.0, 15.99
- Botella de vino blanco seco Sauvignon Blanc, 1.0, 11.99
- Pack de 6 cervezas IPA artesanales, 2.0, 13.99
- Jamón serrano de bellota cortado a mano, 1.0, 24.99
- Aceitunas verdes rellenas de anchoas, 1.0, 6.49
- Pan pita integral de trigo sarraceno sin gluten, 1.0, 3.99
- Yogur griego natural sin azúcar añadido, 1.0, 1.79
- Aceite de coco virgen extra orgánico, 1.0, 8.49
- Almendras crudas enteras de California, 2.0, 10.99
- Mezcla de frutos secos crudos y sin sal añadida, 1.0, 9.99
- Dátiles Medjool orgánicos y jugosos, 2.0, 8.49
- Mantequilla de almendra casera sin aditivos, 1.0, 11.99
- Granola casera con frutos secos y miel, 1.0, 7.49
- Pan multicereales con semillas de lino y girasol, 1.0, 3.49
- Salsa de soja fermentada naturalmente, 1.0, 4.99
- Aceite de sésamo tostado de origen japonés, 1.0, 6.99
