Descripción;Unidades;Precio Unitario
Café de especialidad en grano de Etiopía;2;9.99
Caja de té verde Matcha japonés;1;12.99
Tableta de chocolate negro 70% cacao;2;3.49
Tarro de mermelada artesanal de fresa;1;4.99
Miel cruda de lavanda de la Provenza;1;7.99
Aceitunas Kalamata griegas en aceite de oliva;1;5.49
Pan de centeno artesano con semillas de girasol;2;2.79
Queso de cabra curado con corteza de ceniza;1;8.99
Botella de vino tinto reserva Rioja;2;15.99
Botella de vino blanco seco Sauvignon Blanc;1;11.99
Pack de 6 cervezas IPA artesanales;2;13.99
Jamón serrano de bellota cortado a mano;1;24.99
Aceitunas verdes rellenas de anchoas;1;6.49
Pan pita integral de trigo sarraceno sin gluten;1;3.99
Yogur griego natural sin azúcar añadido;1;1.79
Aceite de coco virgen extra orgánico;1;8.49
Almendras crudas enteras de California;2;10.99
Mezcla de frutos secos crudos y sin sal añadida;1;9.99
Dátiles Medjool orgánicos y jugosos;2;8.49
Mantequilla de almendra casera sin aditivos;1;11.99
Granola casera con frutos secos y miel;1;7.49
Pan multicereales con semillas de lino y girasol;1;3.49
Salsa de soja fermentada naturalmente;1;4.99
Aceite de sésamo tostado de origen japonés;1;6.99
